p_E,p_F,objective,beta1,beta2,beta3,beta4,beta5,phi1,phi2,phi3,phi4,phi5,lambda_A1,lambda_A2,lambda_A3,lambda_A4,lambda_A5,sigma_A1,sigma_A2,sigma_A3,sigma_A4,sigma_A5,lambda_C1,lambda_C2,lambda_C3,lambda_C4,lambda_C5,sigma_C1,sigma_C2,sigma_C3,sigma_C4,sigma_C5
1.0,0.1,-2003017739.3892252,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1000000000.0,0.0,1000000000.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2771522.0420226478,2791108.7464479483,1405328.6316588495,1065383.1003734067,337621.065854382,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,446.47879712281707,953.09896086262961,123.74210919746019,253.12818682522513,116.35272030394997
1.0,0.2,-6026528.7177539505,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,57269.875395779767,8072138.9108129442,7731615.1202749144,26170196.078431372,2995030.6760740136,1805060.1733027457,1458381.7137230509,1703373.8674260883,2859213.8488327446,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,770.264441254144,973.38775331615852,653.98394395955427,158.13701458677596,951.43177770019736
1.0,0.5,-1012388772.0649407,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1000000000.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2974291.0024624793,400582.88911358075,261020.42608038423,325836.28670860967,824820.38827633159,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,28285.092926099118,981.3011998261909,489.26013348357822,918.13168467271805,27646.129008857093
1.0,1.0,-38785442.417802468,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3197619.475031388,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,890270.09961367061,2750288.0435497183,470808.86099344079,269547.82111594977,2750300.1964301844,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,621.21228803376084,98.392111820311484,31.914805383143552,71.608603865814345,89.427063193886084
1.0,2.0,-69834786.025812179,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1063073.2024548715,2415550.7878032755,1701097.3208109431,2768144.4978834712,2090591.8228077805,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,18.582090263609004,512.55979944416526,929.79075180711118,544.0009495424149,602.52655336213775
1.0,5.0,-163091694.56704766,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2643656.0887028077,775388.41248917195,2585382.0640343716,2352698.3771965946,920325.07563469361,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,774.5448141009831,843.20844511907035,65.259927305621886,956.25180513404905,965.6734354101269
1.0,10.0,-339102681.41902459,1.0,0.0,0.0,1.0,0.20702284456637482,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,448037.20315728686,26170196.078431372,2731858.0144144557,1263534.1187827538,541754.54169355286,1244207.6013377951,1567155.2245108322,2858439.8976982096,3143875.3074453939,387354.657825061,2007244.933622092,2572623.8696275926,269.59296525378204,787.66571330328009,992.13322393200599,681.3899062820816,371.79477320967601
2.0,0.1,-2660459.982009944,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2242652.1806382635,922252.48275112105,288212.23095285275,2265402.0383186643,2608872.6917443285,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,887.08579835531975,777.90286190181939,671.18116927961307,425.25739691798287,981.4269190205672
2.0,0.2,-6517263.7161346525,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2238461.7124124998,1854916.609639019,56169.680938641941,1672187.5636555427,1099504.6184026324,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,653.26322720801056,7.3958896746823424,877.15719425802138,607.66292806009756,96.661008273456403
2.0,0.5,-17104624.663323458,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,506058.20419409999,329237.84978677984,2944364.7274335683,2886384.0554527887,2999982.6528852256,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,198.61475943411028,285.53472665775996,395.45969623624524,777.06275726473928,977.75052972874141
